"","MonthlyIncome","CPF","LivingExpenses","HousingType","Region","size","age","time","repayment_mean"
"1","3000","50000","1500","No Preference","All","30","5","10",375109.230769231
"2","5000","50000","1500","No Preference","All","30","5","10",375109.230769231
"3","10000","50000","2000","EXECUTIVE","All","30","5","10",522500
"4","15000","50000","2000","3 ROOM","CENTRAL AREA","200","5","10",0
"5","15000","50000","2000","3 ROOM","CENTRAL AREA","200","5","10",0
"6","15000","50000","2000","3 ROOM","CENTRAL AREA","200","5","10",0
"7","15000","50000","2000","3 ROOM","CENTRAL AREA","200","5","10",0
"8","15000","50000","2000","3 ROOM","CENTRAL AREA","200","5","10",0
"9","30000","50000","1500","No Preference","All","34","5","10",375109.230769231
"10","30000","50000","1500","No Preference","All","34","5","20",375109.230769231
"11","30000","50000","1500","No Preference","All","34","5","20",375109.230769231
"12","30000","50000","1500","No Preference","All","34","5","15",375109.230769231
"13","30000","50000","1500","No Preference","All","34","5","15",375109.230769231
"14","30000","50000","1500","No Preference","All","87","5","15",414342
"15","3000","50000","1500","No Preference","All","30","5","10",375109.230769231
"16","3000","50000","1500","No Preference","All","30","39","10",384701.863852814
"17","3000","50000","1500","No Preference","All","30","39","25",384701.863852814
"18","3000","50000","1500","No Preference","All","30","39","25",384701.863852814
"19","3000","50000","1500","4 ROOM","All","30","39","25",368336.511888889
"20","3000","50000","1500","4 ROOM","All","30","39","25",368336.511888889
"21","1000000","50000","1500","4 ROOM","All","30","39","25",368336.511888889
"22","0","50000","1500","No Preference","All","30","5","10",375109.230769231
"23","1e+12","50000","1500","No Preference","All","30","5","10",375109.230769231
